game_date,release_speed,release_spin_rate,pfx_z,pfx_x,launch_speed,launch_angle,player_name,game_year,pitch_type
2023-06-01,93.2,2280,1.1,-0.4,,,Chris Cole,2023,FF
2023-06-01,91.8,2410,0.9,0.2,,,Chris Cole,2023,SL
2023-06-02,94.1,2350,1.2,-0.5,,,Chris Cole,2023,FF
2023-06-03,,,,,98.5,18.0,Chris Cole,2023,
2023-06-04,92.5,2200,1.0,-0.3,,,Jordan Lee,2023,CH
2023-06-04,90.2,2520,0.8,0.4,,,Jordan Lee,2023,SL
2023-06-05,,,,,102.1,22.0,Jordan Lee,2023,
2023-06-06,95.0,2300,1.3,-0.6,,,Sam Rivera,2023,FF
2023-06-06,88.4,2100,0.7,0.1,,,Sam Rivera,2023,CU
2023-06-07,,,,,89.3,12.0,Sam Rivera,2023,
2023-06-08,89.6,2180,0.9,-0.2,,,Alex Park,2023,FF
2023-06-08,87.1,2450,0.6,0.5,,,Alex Park,2023,SL
2023-06-09,,,,,95.8,28.0,Alex Park,2023,
2023-06-10,96.2,2400,1.4,-0.7,,,Morgan Blake,2023,FF
2023-06-10,93.8,2320,1.1,-0.4,,,Morgan Blake,2023,SL
2023-06-11,,,,,104.2,15.0,Morgan Blake,2023,
